1. Vesuvio: tomatsauce, ost, skinke og oregano 57,-
2. Amerikaner: tomatsauce, ost, oksefars og oregano 53,-
3. Cacciatore: tomatsauce, ost, pepperoni og oregano 57,-
4. Carbona: tomatsauce, ost, koedsauce, spaghetti, cocktailpoelser og oregano 63,-
5. Dennis: tomatsauce, ost, skinke, pepperoni, cocktailpoelser og oregano 65,-
6. Bertil: tomatsauce, ost, bacon og oregano 57,-
7. Silvia: tomatsauce, ost, pepperoni, roed peber, loeg, oliven og oregano 61,-
8. Victoria: tomatsauce, ost, skinke, ananas, champignon, loeg og oregano 61,-
9. Toronfo: tomatsauce, ost, skinke, champignon og oregano 61,-
10. Capricciosa: tomatsauce, ost, skinke, champignon og oregano 61,-
11. Hawaii: tomatsauce, ost, skinke, ananas og oregano 61,- 
12. Le Blissola: tomatsauce, ost, skinke, rejser og oregano 61,- 
13. Venezia: tomatsauce, ost, skinke, bacon og oregano 61,- 
14. Mafia: tomatsauce, ost, pepperoni, bacon, loeg og oregano 61,- 
15. Margherita: tomatsauce og ost 52,-
16. Olives: tomatsauce, ost, shawarma, oliven, fetaost, jalapenos og hvidloeg 63,-
17. Napoli: tomatsauce, ost, koedstrimler, loeg, frisk tomat og peberfrugt 57,-
18. Mama Mia: tomatsauce, ost, hakketoksekoed, bacon, jalapenos og chili 65,-
19. London: tomatsauce, ost, skinke, bacon, cocktailpoelser, aeg og loeg 61,-
20. Kartoffel: tomatsauce, ost, kylling, kartoffel, basilikumpesto, frisk tomat og rucola 63,-
21. Sicilliana: tomatsauce, ost, koedstrimler, bacon, gorgonzola og pepperoni 61,-
22. Anas: tomatsauce, ost, skinke, shawarma, salat og creme fraiche dressing 60,-
23. Bologna: tomatsauce, ost, koedstrimler, stegte loeg, champignon og bearnaise 61,-
24. Senorita: tomatsauce, ost, kylling, bacon, hakket oksekoed, peberfrugt og chili 63,-
25. Papi: tomatsauce, ost, rejer, tun, paprika, hvidloeg og chili 65,-
26. Ciao Ciao: tomatsauce, ost, shawarma, kylling, parmesanost, basilikumpesto og rucola 65,-
27. Nuri: tomatsauce, ost, hakket oksekoed, champignon, chili og hvidloeg  61,-
28. Inka: tomatsauce, ost, pepperoni, shawarma, jalapenos og paprika 61,-
29. Lulu: tomatsauce, ost, pastrami, mozzarella, frisk tomat, basilikumpesto og rucola 65,-
30. Azteka: tomatsauce, ost, hakket oksekoed, peberfrugt, frisk tomat, loeg, chili og hvidloeg 63,-
